"Hand #","Hole Card 1","Hole Card 2","Flop Card 1","Flop Card 2","Flop Card 3","Turn","River","BB","Date","Position","F Act","R Act","T Act","Bet F","Bet R","Bet T","Bet PF"
"4109266824","7","18","0","0","0","0","0","false","2021/04/27 10:54 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109266464","12","23","0","0","0","0","0","false","2021/04/27 10:53 pm","CO","","","","$0.00","$0.00","$0.00","$0.05"
"4109265503","36","4","43","19","21","5","6","false","2021/04/27 10:52 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4109264986","16","3","12","52","17","3","0","false","2021/04/27 10:51 pm","BTN","X","","B","$0.00","$0.00","$0.00","$0.20"
"4109264588","25","31","0","0","0","0","0","false","2021/04/27 10:50 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4109264079","12","41","0","0","0","0","0","true","2021/04/27 10:49 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4109263355","51","11","19","29","35","13","0","false","2021/04/27 10:48 pm","MP","B","","B","$0.11","$0.00","$0.00","$0.12"
"4109262975","9","8","46","36","44","10","14","false","2021/04/27 10:47 pm","CO","","","","$0.00","$0.00","$0.00","$0.12"
"4109262777","24","5","0","0","0","0","0","false","2021/04/27 10:47 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4109262360","13","9","0","0","0","0","0","false","2021/04/27 10:46 pm","SB","","","","$0.00","$0.00","$0.00","$0.12"
"4109261569","25","33","42","20","3","13","0","true","2021/04/27 10:44 pm","BB","X","","B","$0.00","$0.00","$0.00","$0.05"
"4109260950","26","8","47","5","50","4","3","false","2021/04/27 10:43 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109260675","10","1","0","0","0","0","0","false","2021/04/27 10:43 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4109260150","48","19","50","6","46","9","0","false","2021/04/27 10:42 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4109259606","6","16","9","51","17","2","0","false","2021/04/27 10:41 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4109259342","50","14","0","0","0","0","0","true","2021/04/27 10:40 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4109258780","24","10","0","0","0","0","0","false","2021/04/27 10:39 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4109258407","20","31","23","51","37","0","0","false","2021/04/27 10:38 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109257607","48","40","1","34","33","0","0","false","2021/04/27 10:37 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4109257036","51","19","37","23","14","5","3","false","2021/04/27 10:36 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4109255984","11","22","39","13","51","11","10","false","2021/04/27 10:34 pm","SB","B","B","B","$0.10","$0.00","$0.32","$0.12"
"4109255506","48","33","14","31","15","0","0","true","2021/04/27 10:33 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4109254830","41","14","35","38","39","10","13","false","2021/04/27 10:32 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109254353","9","46","0","0","0","0","0","false","2021/04/27 10:31 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109253568","50","40","22","10","48","11","12","false","2021/04/27 10:29 pm","CO","B","XC","B","$0.11","$0.50","$0.38","$0.12"
"4109252989","7","6","39","38","15","0","0","false","2021/04/27 10:28 pm","BTN","B","","","$0.00","$0.00","$0.00","$0.15"
"4109252726","7","4","0","0","0","0","0","false","2021/04/27 10:28 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4109252399","32","28","0","0","0","0","0","true","2021/04/27 10:27 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4109252211","47","14","0","0","0","0","0","false","2021/04/27 10:27 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4109251802","34","30","0","0","0","0","0","false","2021/04/27 10:26 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109251296","50","17","0","0","0","0","0","false","2021/04/27 10:25 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4109250632","32","5","33","19","28","0","0","false","2021/04/27 10:24 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4109249909","13","37","15","32","14","5","0","false","2021/04/27 10:23 pm","SB","X","","B","$0.00","$0.00","$0.00","$0.15"
"4109249579","25","1","0","0","0","0","0","true","2021/04/27 10:22 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4109248854","52","42","39","21","11","4","7","false","2021/04/27 10:21 pm","EP","C","C","C","$0.20","$1.00","$0.25","$0.12"
"4109248241","38","29","28","39","10","14","0","false","2021/04/27 10:20 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109247546","33","14","29","7","3","10","13","false","2021/04/27 10:18 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4109246531","14","27","26","50","47","10","0","false","2021/04/27 10:16 pm","BTN","B","","B","$0.09","$0.00","$0.00","$0.12"
"4109246217","34","15","0","0","0","0","0","false","2021/04/27 10:16 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4109245740","35","6","43","31","37","0","0","true","2021/04/27 10:15 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4109245269","21","19","11","52","34","0","0","false","2021/04/27 10:14 pm","MP","B","","","$0.00","$0.00","$0.00","$0.12"
"4109244657","13","4","0","0","0","0","0","false","2021/04/27 10:13 pm","CO","","","","$0.00","$0.00","$0.00","$1.25"
"4109244431","17","14","0","0","0","0","0","false","2021/04/27 10:12 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4109244254","43","29","0","0","0","0","0","false","2021/04/27 10:12 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4109243778","13","15","25","31","18","0","0","true","2021/04/27 10:11 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4109243428","37","15","0","0","0","0","0","false","2021/04/27 10:10 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4109243331","13","30","0","0","0","0","0","false","2021/04/27 10:10 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109242943","13","20","0","0","0","0","0","false","2021/04/27 10:09 pm","CO","","","","$0.00","$0.00","$0.00","$0.05"
"4109242745","18","28","0","0","0","0","0","false","2021/04/27 10:09 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4109242179","8","29","52","10","21","5","0","false","2021/04/27 10:08 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4109240997","13","25","20","36","4","12","12","true","2021/04/27 10:06 pm","BB","XF","","","$0.00","$0.00","$0.00","$0.52"
"4109239925","20","43","41","26","13","3","14","false","2021/04/27 10:03 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4109239628","5","42","0","0","0","0","0","false","2021/04/27 10:03 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109239126","4","14","0","0","0","0","0","false","2021/04/27 10:02 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4109238563","52","28","24","43","40","13","0","false","2021/04/27 10:01 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4109238390","35","40","0","0","0","0","0","false","2021/04/27 10:01 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4109238103","47","28","0","0","0","0","0","true","2021/04/27 10:00 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4109237642","11","16","0","0","0","0","0","false","2021/04/27  9:59 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4109237216","20","1","0","0","0","0","0","false","2021/04/27  9:59 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4109237003","52","31","0","0","0","0","0","false","2021/04/27  9:58 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4109236807","47","34","0","0","0","0","0","false","2021/04/27  9:58 pm","BTN","","","","$0.00","$0.00","$0.00","$0.05"
"4109236065","13","32","48","36","8","14","13","false","2021/04/27  9:56 pm","SB","B","X","B","$0.08","$0.00","$0.29","$0.12"
"4109235674","12","31","16","48","21","3","0","true","2021/04/27  9:56 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108735432","19","31","0","0","0","0","0","false","2021/04/26  8:48 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108735138","38","4","0","0","0","0","0","false","2021/04/26  8:47 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108734595","13","40","2","44","9","10","0","false","2021/04/26  8:46 pm","BTN","B","","B","$0.19","$0.00","$0.00","$0.12"
"4108734078","12","18","4","40","6","0","0","false","2021/04/26  8:45 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108733986","34","19","37","1","9","2","14","false","2021/04/26  8:45 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108733693","13","17","0","0","0","0","0","false","2021/04/26  8:44 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108733469","42","28","0","0","0","0","0","false","2021/04/26  8:44 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108733336","25","51","47","35","49","0","0","true","2021/04/26  8:43 pm","BB","B","","","$0.00","$0.00","$0.00","$0.11"
"4108733251","13","43","0","0","0","0","0","false","2021/04/26  8:43 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108732858","35","21","0","0","0","0","0","false","2021/04/26  8:42 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108732574","25","40","0","0","0","0","0","true","2021/04/26  8:42 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108732240","42","40","23","13","9","12","7","false","2021/04/26  8:41 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108732083","9","27","10","28","35","5","14","false","2021/04/26  8:41 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108732020","5","14","0","0","0","0","0","false","2021/04/26  8:40 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108731811","52","11","0","0","0","0","0","false","2021/04/26  8:40 pm","CO","","","","$0.00","$0.00","$0.00","$0.05"
"4108731805","32","2","26","21","39","0","0","false","2021/04/26  8:40 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108731624","50","23","0","0","0","0","0","false","2021/04/26  8:40 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108731612","46","1","0","0","0","0","0","false","2021/04/26  8:40 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108731110","34","44","5","27","50","7","6","false","2021/04/26  8:39 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108730891","21","7","48","35","46","9","6","false","2021/04/26  8:38 pm","SB","B","","BC","$0.32","$0.00","$1.05","$0.13"
"4108730764","39","19","13","10","11","0","0","true","2021/04/26  8:38 pm","BB","B","","","$0.00","$0.00","$0.00","$0.11"
"4108730531","50","31","14","7","1","0","0","true","2021/04/26  8:37 pm","BB","F","","","$0.00","$0.00","$0.00","$0.15"
"4108707461","45","3","0","0","0","0","0","false","2021/04/26  7:47 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108707001","6","44","35","46","43","11","14","false","2021/04/26  7:45 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108706680","30","41","46","26","39","6","0","false","2021/04/26  7:45 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108706671","22","4","0","0","0","0","0","false","2021/04/26  7:45 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108706657","35","31","37","12","2","0","0","false","2021/04/26  7:45 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108706287","11","5","35","52","30","13","0","false","2021/04/26  7:44 pm","BTN","B","","BF","$0.10","$0.00","$0.33","$0.12"
"4108706010","23","34","17","49","2","2","7","false","2021/04/26  7:43 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108705989","26","8","1","47","39","6","13","false","2021/04/26  7:43 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108705889","52","29","0","0","0","0","0","false","2021/04/26  7:43 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108705738","21","18","0","0","0","0","0","true","2021/04/26  7:43 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108705468","33","29","9","1","27","0","0","false","2021/04/26  7:42 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108705463","35","20","41","33","26","12","4","true","2021/04/26  7:42 pm","BB","XC","X","XC","$0.06","$0.00","$0.10","$0.05"
"4108705321","20","46","48","25","24","8","0","false","2021/04/26  7:42 pm","EP","B","","B","$0.10","$0.00","$0.00","$0.12"
"4108705230","15","14","0","0","0","0","0","false","2021/04/26  7:42 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108704824","4","16","34","39","3","13","0","false","2021/04/26  7:41 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108704767","7","27","35","2","13","0","0","false","2021/04/26  7:40 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108704661","35","2","50","12","47","5","0","false","2021/04/26  7:40 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108704460","13","34","0","0","0","0","0","false","2021/04/26  7:40 pm","CO","","","","$0.00","$0.00","$0.00","$0.05"
"4108704422","46","4","0","0","0","0","0","true","2021/04/26  7:40 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108704141","39","42","38","47","22","0","0","false","2021/04/26  7:39 pm","BTN","RF","","","$0.81","$0.00","$0.00","$0.12"
"4108704126","10","35","0","0","0","0","0","true","2021/04/26  7:39 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108704014","24","48","36","7","51","11","5","false","2021/04/26  7:39 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108703935","26","8","15","38","22","0","0","false","2021/04/26  7:39 pm","BTN","B","","","$0.00","$0.00","$0.00","$0.12"
"4108703890","10","44","0","0","0","0","0","false","2021/04/26  7:39 pm","SB","","","","$0.00","$0.00","$0.00","$0.05"
"4108703762","13","17","0","0","0","0","0","false","2021/04/26  7:38 pm","SB","","","","$0.00","$0.00","$0.00","$0.05"
"4108703743","26","52","0","0","0","0","0","true","2021/04/26  7:38 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108703563","21","19","0","0","0","0","0","false","2021/04/26  7:38 pm","BTN","","","","$0.00","$0.00","$0.00","$0.05"
"4108703485","11","10","49","45","7","8","10","false","2021/04/26  7:38 pm","SB","BC","","","$0.14","$0.00","$0.00","$0.12"
"4108703450","34","15","39","16","32","2","14","true","2021/04/26  7:38 pm","BB","B","B","B","$0.08","$0.00","$0.19","$0.05"
"4108703338","18","27","1","33","37","12","2","false","2021/04/26  7:37 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108703296","3","42","0","0","0","0","0","false","2021/04/26  7:37 pm","MP","","","","$0.00","$0.00","$0.00","$0.05"
"4108703108","18","3","25","2","32","0","0","true","2021/04/26  7:37 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108703096","22","16","0","0","0","0","0","false","2021/04/26  7:37 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108702993","49","20","0","0","0","0","0","false","2021/04/26  7:37 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108702949","52","41","26","21","27","0","0","true","2021/04/26  7:36 pm","BB","B","","","$0.00","$0.00","$0.00","$0.35"
"4108702791","11","17","0","0","0","0","0","false","2021/04/26  7:36 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108702546","13","2","40","47","33","10","0","false","2021/04/26  7:36 pm","EP","B","","B","$0.10","$0.00","$0.00","$0.14"
"4108702404","12","49","45","46","19","7","0","false","2021/04/26  7:35 pm","SB","B","","BF","$0.09","$0.00","$0.30","$0.12"
"4108702288","50","8","0","0","0","0","0","false","2021/04/26  7:35 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108702102","35","20","39","45","16","0","0","false","2021/04/26  7:35 pm","BTN","F","","","$0.00","$0.00","$0.00","$0.11"
"4108702013","47","27","22","41","38","14","0","true","2021/04/26  7:34 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108701870","43","14","50","10","11","4","5","false","2021/04/26  7:34 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108701652","51","24","32","27","22","0","0","false","2021/04/26  7:34 pm","SB","B","","","$0.00","$0.00","$0.00","$0.13"
"4108701583","36","15","17","48","22","0","0","false","2021/04/26  7:33 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108701517","31","42","0","0","0","0","0","true","2021/04/26  7:33 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108701334","50","2","0","0","0","0","0","false","2021/04/26  7:33 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108701168","48","16","0","0","0","0","0","false","2021/04/26  7:32 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108701132","47","40","14","5","22","8","7","false","2021/04/26  7:32 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108700985","48","47","32","7","20","4","0","false","2021/04/26  7:32 pm","SB","B","","B","$0.13","$0.00","$0.00","$0.12"
"4108700901","23","34","0","0","0","0","0","false","2021/04/26  7:32 pm","SB","","","","$0.00","$0.00","$0.00","$0.05"
"4108700787","9","2","0","0","0","0","0","true","2021/04/26  7:32 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108700737","9","33","21","32","6","0","0","false","2021/04/26  7:32 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108700593","10","17","0","0","0","0","0","false","2021/04/26  7:31 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108700379","36","34","38","11","48","11","14","true","2021/04/26  7:31 pm","BB","B","XC","B","$0.11","$0.80","$0.39","$0.15"
"4108700330","43","4","0","0","0","0","0","false","2021/04/26  7:31 pm","BTN","","","","$0.00","$0.00","$0.00","$0.05"
"4108700186","46","44","51","4","18","11","12","false","2021/04/26  7:30 pm","CO","B","F","BC","$0.09","$0.00","$0.84","$0.12"
"4108700097","22","43","0","0","0","0","0","false","2021/04/26  7:30 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108699973","5","16","29","20","50","6","0","false","2021/04/26  7:30 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108699939","49","16","29","3","6","5","0","false","2021/04/26  7:30 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108699912","45","42","0","0","0","0","0","false","2021/04/26  7:30 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108699651","12","3","0","0","0","0","0","false","2021/04/26  7:29 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108699598","47","8","44","32","7","10","0","true","2021/04/26  7:29 pm","BB","B","","B","$0.19","$0.00","$0.00","$0.20"
"4108699455","20","41","0","0","0","0","0","false","2021/04/26  7:29 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108699435","39","37","0","0","0","0","0","true","2021/04/26  7:29 pm","BB","","","","$0.00","$0.00","$0.00","$0.15"
"4108699322","13","12","0","0","0","0","0","false","2021/04/26  7:28 pm","BTN","","","","$0.00","$0.00","$0.00","$0.05"
"4108699036","48","3","30","6","32","0","0","false","2021/04/26  7:28 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108699013","22","44","1","25","50","13","7","false","2021/04/26  7:28 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108698804","25","31","0","0","0","0","0","false","2021/04/26  7:27 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108698763","39","36","0","0","0","0","0","false","2021/04/26  7:27 pm","MP","","","","$0.00","$0.00","$0.00","$0.05"
"4108698732","26","18","3","41","22","2","7","false","2021/04/26  7:27 pm","SB","XC","B","X","$0.15","$0.00","$0.00","$0.10"
"4108698653","34","43","0","0","0","0","0","false","2021/04/26  7:27 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108698636","19","17","0","0","0","0","0","false","2021/04/26  7:27 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108698553","22","16","0","0","0","0","0","true","2021/04/26  7:27 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108698404","51","14","47","45","52","9","0","true","2021/04/26  7:26 pm","BB","X","","B","$0.00","$0.00","$0.00","$0.05"
"4108698272","34","1","45","23","37","0","0","false","2021/04/26  7:26 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108698211","39","52","0","0","0","0","0","false","2021/04/26  7:26 pm","MP","","","","$0.00","$0.00","$0.00","$0.05"
"4108698158","8","14","21","5","50","6","0","false","2021/04/26  7:26 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108698138","9","42","0","0","0","0","0","false","2021/04/26  7:26 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108697988","45","3","0","0","0","0","0","true","2021/04/26  7:25 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108697777","52","50","2","46","51","0","0","false","2021/04/26  7:25 pm","CO","BR","","","$0.27","$0.00","$0.00","$0.12"
"4108697740","16","2","18","37","30","7","0","false","2021/04/26  7:25 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108697575","21","3","0","0","0","0","0","false","2021/04/26  7:25 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108697478","15","1","0","0","0","0","0","false","2021/04/26  7:24 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108696939","8","6","39","42","25","11","8","false","2021/04/26  7:23 pm","MP","B","X","B","$0.10","$0.00","$0.35","$0.12"
"4108696915","35","32","6","26","38","4","7","false","2021/04/26  7:23 pm","BTN","B","RC","B","$0.17","$3.13","$0.58","$0.20"
"4108696831","34","42","0","0","0","0","0","false","2021/04/26  7:23 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108696763","52","41","18","9","27","11","12","false","2021/04/26  7:23 pm","SB","B","X","B","$0.21","$0.00","$0.94","$0.42"
"4108696724","4","16","0","0","0","0","0","false","2021/04/26  7:23 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108696523","25","34","39","28","51","0","0","false","2021/04/26  7:22 pm","SB","B","","","$0.00","$0.00","$0.00","$0.12"
"4108696290","4","14","0","0","0","0","0","true","2021/04/26  7:22 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108696178","19","43","16","3","29","10","2","true","2021/04/26  7:21 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108696161","51","44","45","35","17","8","14","false","2021/04/26  7:21 pm","SB","B","X","XC","$0.12","$0.00","$0.17","$0.12"
"4108695821","13","14","45","31","23","11","2","true","2021/04/26  7:21 pm","BB","C","C","C","$0.05","$0.05","$0.05","$0.10"
"4108695758","36","3","41","17","7","10","5","false","2021/04/26  7:21 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108695652","44","15","39","10","30","0","0","false","2021/04/26  7:20 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108695480","51","27","4","34","47","0","0","false","2021/04/26  7:20 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108695319","23","15","43","1","28","7","8","false","2021/04/26  7:20 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108694909","38","31","29","1","21","3","7","false","2021/04/26  7:19 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108694883","49","21","10","8","36","0","0","false","2021/04/26  7:19 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108694864","39","9","2","36","15","0","0","false","2021/04/26  7:19 pm","MP","XF","","","$0.00","$0.00","$0.00","$0.19"
"4108694763","13","44","0","0","0","0","0","false","2021/04/26  7:18 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108694535","44","43","0","0","0","0","0","false","2021/04/26  7:18 pm","BTN","","","","$0.00","$0.00","$0.00","$0.15"
"4108694276","20","28","0","0","0","0","0","false","2021/04/26  7:17 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108694275","35","47","16","11","25","12","2","false","2021/04/26  7:17 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108694231","44","17","51","10","26","8","6","false","2021/04/26  7:17 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108693970","9","46","29","32","4","9","0","true","2021/04/26  7:17 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108693766","3","27","0","0","0","0","0","false","2021/04/26  7:16 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108693733","43","42","46","28","49","9","0","false","2021/04/26  7:16 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108693580","43","16","0","0","0","0","0","false","2021/04/26  7:16 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108693494","32","42","25","10","37","6","2","false","2021/04/26  7:16 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108693387","38","1","40","50","20","4","0","false","2021/04/26  7:15 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108693160","49","41","0","0","0","0","0","true","2021/04/26  7:15 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108692945","26","4","49","10","2","13","0","true","2021/04/26  7:15 pm","BB","B","","BF","$0.10","$0.00","$0.38","$0.12"
"4108692853","50","22","1","43","34","8","3","false","2021/04/26  7:14 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108692720","51","37","0","0","0","0","0","false","2021/04/26  7:14 pm","EP","","","","$0.00","$0.00","$0.00","$0.05"
"4108692616","6","42","38","10","49","0","0","false","2021/04/26  7:14 pm","EP","","","","$0.00","$0.00","$0.00","$0.00"
"4108692429","36","9","0","0","0","0","0","false","2021/04/26  7:13 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108692330","45","32","6","51","40","3","6","false","2021/04/26  7:13 pm","BTN","B","B","B","$0.11","$0.86","$0.34","$0.13"
"4108692198","26","50","40","27","24","0","0","false","2021/04/26  7:13 pm","MP","B","","","$0.00","$0.00","$0.00","$0.12"
"4108692191","8","29","0","0","0","0","0","false","2021/04/26  7:13 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108692055","35","4","0","0","0","0","0","false","2021/04/26  7:13 pm","BTN","","","","$0.00","$0.00","$0.00","$0.00"
"4108691900","22","42","51","19","31","14","3","false","2021/04/26  7:12 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108691649","17","40","16","8","31","11","2","false","2021/04/26  7:12 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108691355","11","24","37","46","4","9","2","false","2021/04/26  7:11 pm","CO","B","B","C","$0.15","$0.00","$0.38","$0.12"
"4108691330","52","12","51","18","41","13","3","true","2021/04/26  7:11 pm","BB","","","","$0.00","$0.00","$0.00","$5.00"
"4108691322","47","16","25","33","7","11","9","true","2021/04/26  7:11 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
"4108690898","34","7","19","31","1","0","0","false","2021/04/26  7:10 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108690799","37","33","44","11","43","0","0","false","2021/04/26  7:10 pm","BTN","B","","","$0.00","$0.00","$0.00","$0.15"
"4108690725","22","8","29","6","2","5","0","false","2021/04/26  7:10 pm","MP","","","","$0.00","$0.00","$0.00","$0.00"
"4108690521","36","8","21","42","23","11","13","false","2021/04/26  7:09 pm","CO","","","","$0.00","$0.00","$0.00","$0.00"
"4108690359","32","17","8","35","52","6","0","false","2021/04/26  7:09 pm","SB","","","","$0.00","$0.00","$0.00","$0.02"
"4108690206","12","33","0","0","0","0","0","false","2021/04/26  7:09 pm","BTN","","","","$0.00","$0.00","$0.00","$0.05"
"4108690179","12","48","0","0","0","0","0","true","2021/04/26  7:09 pm","BB","","","","$0.00","$0.00","$0.00","$0.05"
